pair,count
"('aang', 'soldier')",2
"('aang', 'oracle')",1
"('azula', 'zuko')",35
"('azula', 'iroh')",3
"('katara', 'soldier')",2
"('chong', 'sokka')",13
"('aang', 'chong')",4
"('chong', 'katara')",8
"('moku', 'sokka')",2
"('chong', 'moku')",3
"('aang', 'moku')",3
"('lily', 'sokka')",4
"('chong', 'lily')",4
"('katara', 'lily')",3
"('sokka', 'toph')",165
"('aang', 'toph')",132
"('katara', 'toph')",138
"('lily', 'moku')",1
"('katara', 'moku')",1
"('aang', 'lily')",1
"('song', 'zuko')",4
"('iroh', 'song')",3
"(""song's mother"", 'zuko')",1
"('song', ""song's mother"")",1
"('iroh', ""song's mother"")",1
"('guard one', 'katara')",2
"('guard two', 'sokka')",1
"('guard one', 'sokka')",1
"('guard one', 'guard two')",1
"('guard two', 'katara')",1
"('azula', 'ty lee')",13
"('resistance fighter #1', 'resistance fighter #2')",1
"('resistance fighter #1', 'yung')",1
"('aang', 'resistance fighter #1')",1
"('resistance fighter #2', 'yung')",1
"('aang', 'resistance fighter #2')",1
"('aang', 'yung')",1
"('old man', 'sokka')",1
"('michi', 'ukano')",1
"('guard', 'ukano')",1
"('guard', 'michi')",1
"('mai', 'michi')",1
"('azula', 'shuzumu')",3
"('katara', 'yung')",1
"('azula', 'mai')",11
"('mai', 'ty lee')",13
"('azula', 'ukano')",1
"('aang', 'azula')",7
"('aang', 'mai')",1
"('azula', 'bumi')",1
"('bumi', 'mai')",1
"('peasant girl', 'zuko')",1
"('iroh', 'peasant girl')",1
"('broadsword man', 'zuko')",1
"('broadsword man', 'iroh')",2
"('due', 'tho')",6
"('princess yue', 'sokka')",1
"('huu', 'sokka')",4
"('aang', 'huu')",3
"('huu', 'katara')",2
"('due', 'huu')",3
"('due', 'sokka')",3
"('due', 'katara')",2
"('sokka', 'tho')",1
"('katara', 'tho')",1
"('merchant', 'sokka')",1
"('aang', 'merchant')",1
"('katara', 'merchant')",1
"('tong', 'villager')",1
"('aang', 'villager')",2
"('aang', 'tong')",7
"('tong', 'villager #2')",1
"('aang', 'villager #2')",1
"('aang', 'villager #3')",1
"('katara', 'villager #3')",2
"('katara', 'koko')",1
"('prisoner #2', 'sensitive ruffian')",1
"('aang', 'prisoner #2')",1
"('prisoner #2', 'scary prisoner')",1
"('aang', 'sensitive ruffian')",2
"('scary prisoner', 'sensitive ruffian')",2
"('aang', 'scary prisoner')",2
"('katara', 'tong')",3
"('sokka', 'tong')",2
"('villager', 'villager #3')",1
"('villager', 'villager #2')",1
"('katara', 'villager')",1
"('villager #2', 'villager #3')",1
"('katara', 'villager #2')",1
"('mongke', 'villager')",1
"('male student', 'male student #2')",2
"('aang', 'male student #2')",3
"('aang', 'male student')",3
"('the boulder', 'xin fu')",2
"('the hippo', 'xin fu')",1
"('sokka', 'xin fu')",2
"('katara', 'xin fu')",4
"('the boulder', 'the hippo')",1
"('sokka', 'the boulder')",2
"('katara', 'the boulder')",2
"('sokka', 'the hippo')",1
"('katara', 'the hippo')",1
"('aang', 'xin fu')",3
"('the boulder', 'toph')",3
"('audience', 'sokka')",1
"('audience', 'toph')",1
"('aang', 'audience')",1
"('male student #2', 'sokka')",1
"('katara', 'male student #2')",1
"('male student', 'sokka')",1
"('katara', 'male student')",1
"('guard', 'toph')",3
"('lao', 'servant')",1
"('servant', 'yu')",1
"('lao', 'yu')",2
"('lao', 'poppy')",3
"('aang', 'poppy')",2
"('aang', 'lao')",4
"('aang', 'yu')",1
"('katara', 'poppy')",1
"('katara', 'lao')",2
"('toph', 'xin fu')",4
"('lao', 'xin fu')",1
"('lao', 'toph')",3
"('lao', 'sokka')",1
"('poppy', 'toph')",1
"('store owner', 'zuko')",1
"('earth kingdom soldier', 'zuko')",1
"('gow', 'zuko')",3
"('earth kingdom soldier', 'gow')",2
"('lee', 'zuko')",5
"('gansu', 'zuko')",3
"('gansu', 'sela')",1
"('sela', 'zuko')",3
"('gansu', 'lee')",2
"('ursa', 'zuko')",8
"('azula', 'ursa')",5
"('earth kingdom soldier', 'gansu')",1
