book,pair,count,average_sentiment_between_characters
Earth,"('ghashiun', 'sha-mo')",2,-0.7518181130290031
Earth,"('florist', 'xin fu')",1,-1.4614267647266388
Earth,"('florist', 'yu')",2,-0.7307410091161728
Earth,"('ghashiun', 'toph')",2,-1.4850938469171524
Earth,"('aang', 'ghashiun')",2,-0.595269501209259
Earth,"('sha-mo', 'toph')",1,-1.4910500943660736
Earth,"('aang', 'sha-mo')",1,-1.4910500943660736
Earth,"('aang', 'than')",2,0.8370448797941208
Earth,"('katara', 'than')",3,-0.40471408267815906
Earth,"('than', 'toph')",1,-0.49459001421928406
Earth,"('toph', 'ying')",2,-0.5068024496237438
Earth,"('than', 'ying')",2,0.2023661583662033
Earth,"('sokka', 'than')",2,0.5022469833493233
Earth,"('sokka', 'ying')",4,-0.2657358977322777
Earth,"('katara', 'ying')",4,-0.2657358977322777
Earth,"('iroh', 'smellerbee')",2,0.3358553449312846
Earth,"('smellerbee', 'zuko')",1,0.17739697297414145
Earth,"('jet', 'smellerbee')",8,-0.06170058858891328
Earth,"('iroh', 'jet')",6,0.002185664905442123
Earth,"('jet', 'zuko')",4,-0.6081011685232321
Earth,"('aang', 'ticket lady')",3,-0.3033022752829961
Earth,"('sokka', 'ticket lady')",2,-0.08665602973529274
Earth,"('cabbage merchant', 'ticket lady')",1,-1.0118286226476942
Earth,"('aang', 'cabbage merchant')",1,-1.0118286226476942
Earth,"('cabbage merchant', 'sokka')",1,-1.0118286226476942
Earth,"('ticket lady', 'toph')",1,0.8385165631771088
Earth,"('sokka', 'suki')",8,-0.06434059306713084
Earth,"('aang', 'suki')",2,0.11870200037956238
Earth,"('aang', 'ying')",4,-0.061668657263120014
Earth,"('suki', 'ying')",1,-0.06834678053855896
Earth,"('katara', 'suki')",2,0.11870200037956238
Earth,"('suki', 'toph')",2,0.4223496448248625
Earth,"('qin', 'ty lee')",2,-0.74589903652668
Earth,"('mai', 'qin')",1,1.4828772842884064
Earth,"('azula', 'qin')",1,1.4828772842884064
Earth,"('earthbender guard', 'ying')",1,-0.5586352944374084
Earth,"('aang', 'earthbender guard')",1,-0.5586352944374084
Earth,"('general sung', 'toph')",3,-0.21306878808471888
Earth,"('aang', 'general sung')",3,0.38787685748603606
Earth,"('general sung', 'sokka')",3,-0.21306878808471888
Earth,"('iroh', 'ticket woman')",1,-0.06813864409923553
Earth,"('ticket woman', 'zuko')",1,-0.06813864409923553
Earth,"('terra team member', 'toph')",1,0.046463449796040855
Earth,"('aang', 'terra team member')",1,0.046463449796040855
Earth,"('general sung', 'terra team member')",1,0.046463449796040855
Earth,"('sokka', 'terra team member')",1,0.046463449796040855
Earth,"('katara', 'terra team member')",1,0.046463449796040855
Earth,"('general sung', 'katara')",1,0.046463449796040855
Earth,"('iroh', 'tea seller')",1,0.5120195746421814
Earth,"('jet', 'tea seller')",1,0.5120195746421814
Earth,"('azula', 'second engineer')",1,0.0007459670305252075
Earth,"('aang', 'ty lee')",1,1.4837047755718231
Earth,"('sokka', 'ty lee')",2,0.8893484383821487
Earth,"('iroh', 'ying')",1,1.4997284263372421
Earth,"('joo dee', 'sokka')",7,0.5132588193352733
Earth,"('joo dee', 'katara')",3,-0.19003946768740812
Earth,"('aang', 'joo dee')",4,0.1860976335592568
Earth,"('joo dee', 'toph')",2,-0.23695447575300932
Earth,"('aang', 'pet store owner')",1,-1.497256301343441
Earth,"('pet store owner', 'sokka')",1,-1.497256301343441
Earth,"('sokka', 'university student')",1,-0.5298905670642853
Earth,"('pong', 'toph')",1,-0.760002963244915
Earth,"('aang', 'pong')",1,-0.760002963244915
Earth,"('pong', 'sokka')",1,-0.760002963244915
Earth,"('katara', 'pong')",1,-0.760002963244915
Earth,"('customer', 'iroh')",2,0.3134741872549057
Earth,"('iroh', 'pao')",3,0.3210644655155413
Earth,"('customer', 'pao')",2,0.3134741872549057
Earth,"('customer', 'jet')",2,0.027022781968116805
Earth,"('katara', 'long feng')",6,-0.03274040470520656
Earth,"('older guest', 'younger guest')",1,0.0009282231330871582
Earth,"('aang', 'guest')",1,-0.2891610413789749
Earth,"('jet', 'pao')",1,-0.8650165021419525
Earth,"('aang', 'long feng')",9,-0.17368201102529252
Earth,"('long feng', 'sokka')",8,-0.2012988429516554
Earth,"('jet', 'toph')",6,-0.3065871866112882
Earth,"('long feng', 'toph')",2,0.21032841503620148
Earth,"('jet', 'long feng')",3,-0.5640990698621386
Earth,"('jet', 'sokka')",7,-0.32881217598057366
Earth,"('jet', 'katara')",8,-0.11363334058964754
Earth,"('dai li agent', 'jet')",1,0.041139811277389526
Earth,"('joo dee replacement', 'katara')",1,-0.001325950026512146
Earth,"('girl with umbrella', 'toph')",1,0.6404452621936798
Earth,"('third girl', 'toph')",1,1.456532174348831
Earth,"('star', 'third girl')",1,1.456532174348831
Earth,"('katara', 'third girl')",1,1.456532174348831
Earth,"('star', 'toph')",1,1.456532174348831
Earth,"('katara', 'star')",1,1.456532174348831
Earth,"('iroh', 'shop owner')",1,1.1653261184692383
Earth,"(""boy's mother"", 'iroh')",1,1.492189809679985
Earth,"('huge round angry face', 'iroh')",2,-0.03605910390615463
Earth,"('iroh', 'tycho')",3,0.15863882218088424
Earth,"('aang', 'kenji')",2,0.7523308899253607
Earth,"('guard', 'kenji')",1,0.2894924581050873
Earth,"('lady on stage', 'sokka')",1,0.028108075261116028
Earth,"('ladies', 'macmu-ling')",1,0.7269809246063232
Earth,"('ladies', 'sokka')",1,0.7269809246063232
Earth,"('macmu-ling', 'sokka')",1,0.7269809246063232
Earth,"('iroh', 'jin')",1,1.1105687990784645
Earth,"('jin', 'zuko')",8,0.1587540116161108
Earth,"('waiter', 'zuko')",1,0.002933710813522339
Earth,"('jin', 'waiter')",1,0.002933710813522339
Earth,"('ghashiun', 'sandbender #2')",1,-1.300039142370224
Earth,"('sandbender #1', 'sandbender #2')",1,-1.300039142370224
Earth,"('ghashiun', 'sandbender #1')",1,-1.300039142370224
Earth,"('ghashiun', 'merchant #1')",1,0.003093726933002472
Earth,"('merchant #1', 'merchant #2')",3,-0.984187938272953
Earth,"('ghashiun', 'merchant #2')",2,-0.7436702661216259
Earth,"('merchant #1', 'trainer')",1,-1.4883023500442505
Earth,"('merchant #2', 'trainer')",1,-1.4883023500442505
Earth,"('shuzumu', 'trainer')",1,-1.4918710589408875
Earth,"('fire nation man', 'unnamed fire nation boy')",1,1.4984377473592758
Earth,"('trainer', 'unnamed fire nation boy')",1,-1.4892342388629913
Earth,"('kyoshi warrior #1', 'suki')",2,-0.2540585622191429
Earth,"('mai', 'suki')",1,-0.08564938604831696
Earth,"('suki', 'ty lee')",1,-0.08564938604831696
Earth,"('azula', 'suki')",2,-0.02522285282611847
Earth,"('kyoshi warrior #2', 'mai')",1,-1.4294500797986984
Earth,"('iroh', 'quon')",2,0.34618560563434253
Earth,"('pao', 'quon')",1,0.3362450220368125
Earth,"('quon', 'zuko')",1,0.35612618923187256
Earth,"('dai li agent', 'joo dee')",1,-0.6422331205436161
Earth,"('dai li agent', 'long feng')",1,-0.6422331205436161
Earth,"('joo dee', 'long feng')",1,-0.6422331205436161
Earth,"('aang', 'jet')",5,-0.4649297875471604
Earth,"('old sweepy', 'toph')",1,-0.06345900893211365
Earth,"('aang', 'old sweepy')",1,-0.06345900893211365
Earth,"('jet', 'old sweepy')",1,-0.06345900893211365
Earth,"('old sweepy', 'sokka')",1,-0.06345900893211365
Earth,"('katara', 'old sweepy')",1,-0.06345900893211365
Earth,"('smellerbee', 'toph')",2,-0.2453182302415371
Earth,"('smellerbee', 'sokka')",1,-1.2355766966938972
Earth,"('katara', 'smellerbee')",3,-0.15220802028973898
Earth,"('jet', 'joo dees')",1,1.428083449602127
Earth,"('brainwasher', 'joo dees')",1,1.428083449602127
Earth,"('brainwasher', 'jet')",1,1.428083449602127
Earth,"('longshot', 'smellerbee')",1,0.03401239961385727
Earth,"('katara', 'longshot')",1,0.03401239961385727
Earth,"('palace woman', 'sokka')",1,-1.4894628077745438
Earth,"('kuei', 'toph')",5,0.07787148024354659
Earth,"('aang', 'kuei')",11,0.13619995128798792
Earth,"('kuei', 'long feng')",4,-0.267456223496369
Earth,"('kuei', 'sokka')",13,0.32604432860901067
Earth,"('katara', 'kuei')",7,0.10107868481047298
Earth,"('blue dragon', 'zuko')",1,0.25406643748283386
Earth,"('blue dragon', 'red dragon')",1,-1.468548059463501
Earth,"('general how', 'kuei')",2,0.17100057601928711
Earth,"('general how', 'toph')",1,-0.1593446910381317
Earth,"('aang', 'general how')",1,-0.1593446910381317
