book,chapter,positive,negative,anger,fear,anticipation,trust,surprise,sadness,joy,disgust
Fire,The Awakening,0.2056239015817223,0.1335676625659051,0.06502636203866433,0.07557117750439367,0.11599297012302284,0.15817223198594024,0.03866432337434095,0.08084358523725835,0.08787346221441125,0.03866432337434095
Fire,The Beach,0.20695652173913043,0.1356521739130435,0.06086956521739131,0.06434782608695652,0.11652173913043479,0.12521739130434784,0.05217391304347826,0.06608695652173913,0.12521739130434784,0.04695652173913043
Fire,"The Boiling Rock, Part 1",0.19213973799126638,0.14847161572052403,0.06331877729257641,0.11790393013100436,0.12445414847161572,0.1615720524017467,0.05240174672489083,0.05021834061135371,0.06550218340611354,0.024017467248908297
Fire,"The Boiling Rock, Part 2",0.14285714285714285,0.1746031746031746,0.10714285714285714,0.15079365079365079,0.1130952380952381,0.1388888888888889,0.031746031746031744,0.061507936507936505,0.04365079365079365,0.03571428571428571
Fire,"The Day of Black Sun, Part 1: The Invasion",0.19675456389452334,0.14807302231237324,0.09127789046653144,0.1257606490872211,0.0973630831643002,0.12778904665314403,0.05273833671399594,0.058823529411764705,0.06693711967545639,0.034482758620689655
Fire,"The Day of Black Sun, Part 2: The Eclipse",0.18506998444790046,0.14774494556765164,0.06220839813374806,0.10730948678071539,0.1104199066874028,0.14618973561430793,0.04821150855365474,0.06531881804043546,0.07465007776049767,0.05287713841368585
Fire,The Ember Island Players,0.21394611727416799,0.12836767036450078,0.061806656101426306,0.08240887480190175,0.1109350237717908,0.1537242472266244,0.04754358161648178,0.06497622820919176,0.08716323296354993,0.0491283676703645
Fire,The Firebending Masters,0.23297491039426524,0.11290322580645161,0.06630824372759857,0.1003584229390681,0.1111111111111111,0.16308243727598568,0.05555555555555555,0.043010752688172046,0.0913978494623656,0.023297491039426525
Fire,The Headband,0.21551724137931033,0.11724137931034483,0.04482758620689655,0.1103448275862069,0.08620689655172414,0.19137931034482758,0.039655172413793106,0.056896551724137934,0.0896551724137931,0.04827586206896552
Fire,The Painted Lady,0.21025641025641026,0.13076923076923078,0.03333333333333333,0.05128205128205128,0.10512820512820513,0.1717948717948718,0.05384615384615385,0.07692307692307693,0.10256410256410256,0.0641025641025641
Fire,The Puppetmaster,0.20809248554913296,0.12716763005780346,0.05394990366088632,0.1233140655105973,0.11175337186897881,0.1329479768786127,0.05009633911368015,0.06936416184971098,0.07514450867052024,0.04816955684007707
Fire,The Runaway,0.21206225680933852,0.1245136186770428,0.07003891050583658,0.0622568093385214,0.11867704280155641,0.15369649805447472,0.0622568093385214,0.0622568093385214,0.10116731517509728,0.033073929961089495
Fire,The Southern Raiders,0.1983640081799591,0.1492842535787321,0.07157464212678936,0.09406952965235174,0.10020449897750511,0.15132924335378323,0.034764826175869123,0.08588957055214724,0.07157464212678936,0.04294478527607362
Fire,The Western Air Temple,0.20665499124343256,0.14185639229422067,0.0595446584938704,0.09106830122591944,0.0893169877408056,0.14886164623467601,0.0647985989492119,0.07180385288966724,0.08056042031523643,0.04553415061295972
Water,Bato of the Water Tribe,0.1941747572815534,0.11893203883495146,0.05339805825242718,0.06796116504854369,0.1407766990291262,0.1650485436893204,0.07524271844660194,0.050970873786407765,0.08495145631067962,0.04854368932038835
Water,Imprisoned,0.18450184501845018,0.14760147601476015,0.07195571955719557,0.13837638376383765,0.1014760147601476,0.13837638376383765,0.04981549815498155,0.07195571955719557,0.05904059040590406,0.03690036900369004
Water,Jet,0.20668058455114824,0.12108559498956159,0.054279749478079335,0.1315240083507307,0.0918580375782881,0.17536534446764093,0.054279749478079335,0.05636743215031315,0.07724425887265135,0.031315240083507306
Water,The Avatar Returns,0.2463768115942029,0.09420289855072464,0.043478260869565216,0.12318840579710146,0.11956521739130435,0.17028985507246377,0.050724637681159424,0.03985507246376811,0.08695652173913043,0.025362318840579712
Water,The Blue Spirit,0.28654970760233917,0.11988304093567251,0.03508771929824561,0.0847953216374269,0.09064327485380116,0.1695906432748538,0.04093567251461988,0.049707602339181284,0.08187134502923976,0.04093567251461988
Water,The Boy in the Iceberg,0.2175925925925926,0.12962962962962962,0.037037037037037035,0.11342592592592593,0.1087962962962963,0.1574074074074074,0.07175925925925926,0.046296296296296294,0.08101851851851852,0.037037037037037035
Water,The Deserter,0.21833333333333332,0.13833333333333334,0.06,0.12,0.1,0.12666666666666668,0.08166666666666667,0.056666666666666664,0.06666666666666667,0.03166666666666667
Water,The Fortuneteller,0.2370266479663394,0.12342215988779803,0.051893408134642355,0.07012622720897616,0.10659186535764376,0.1640953716690042,0.06732117812061711,0.04628330995792426,0.10518934081346423,0.028050490883590462
Water,The Great Divide,0.17933130699088146,0.14893617021276595,0.06838905775075987,0.08054711246200608,0.09422492401215805,0.1702127659574468,0.03951367781155015,0.0668693009118541,0.0851063829787234,0.0668693009118541
Water,The King of Omashu,0.2398190045248869,0.11085972850678733,0.06787330316742081,0.07918552036199095,0.12669683257918551,0.13574660633484162,0.05203619909502263,0.04751131221719457,0.09728506787330317,0.042986425339366516
Water,The Northern Air Temple,0.18058690744920994,0.1489841986455982,0.056433408577878104,0.11286681715575621,0.1309255079006772,0.12641083521444696,0.04740406320541761,0.060948081264108354,0.0654627539503386,0.06997742663656885
Water,"The Siege of the North, Part 1",0.27293577981651373,0.11238532110091744,0.05504587155963303,0.0871559633027523,0.0871559633027523,0.18577981651376146,0.04357798165137615,0.052752293577981654,0.07110091743119266,0.03211009174311927
Water,"The Siege of the North, Part 2",0.21651785714285715,0.14285714285714285,0.05580357142857143,0.08705357142857142,0.09598214285714286,0.12946428571428573,0.0625,0.09375,0.08258928571428571,0.033482142857142856
Water,The Southern Air Temple,0.2738336713995943,0.11764705882352941,0.030425963488843813,0.07707910750507099,0.10344827586206896,0.18052738336713997,0.034482758620689655,0.06288032454361055,0.08316430020283976,0.036511156186612576
Water,The Storm,0.24165341812400637,0.13354531001589826,0.07790143084260731,0.09697933227344992,0.07631160572337042,0.16375198728139906,0.04769475357710652,0.046104928457869634,0.07313195548489666,0.04292527821939587
Water,The Warriors of Kyoshi,0.24780701754385964,0.13815789473684212,0.07017543859649122,0.05921052631578947,0.10307017543859649,0.14912280701754385,0.07017543859649122,0.05043859649122807,0.08333333333333333,0.02850877192982456
Water,The Waterbending Master,0.27929373996789725,0.08667736757624397,0.048154093097913325,0.06741573033707865,0.10754414125200643,0.1781701444622793,0.05457463884430177,0.04333868378812199,0.11075441412520064,0.024077046548956663
Water,The Waterbending Scroll,0.25357873210633947,0.12474437627811862,0.049079754601226995,0.06134969325153374,0.10429447852760736,0.1656441717791411,0.05725971370143149,0.05725971370143149,0.09202453987730061,0.034764826175869123
Water,"Winter Solstice, Part 1: The Spirit World",0.2865853658536585,0.11585365853658537,0.054878048780487805,0.06910569105691057,0.09349593495934959,0.14227642276422764,0.04878048780487805,0.07113821138211382,0.08739837398373984,0.03048780487804878
Water,"Winter Solstice, Part 2: Avatar Roku",0.2751540041067762,0.14168377823408623,0.059548254620123205,0.1437371663244353,0.09856262833675565,0.1293634496919918,0.028747433264887063,0.049281314168377825,0.04106776180698152,0.03285420944558522
