character,dialogue_count,scene_count,episode_count,arc_presence,positive_proportion,negative_proportion,neutral_proportion
princess yue,4,1,1,Earth,0.0,1.0,0.0
huu,236,6,2,"Earth, Fire",0.614406779661017,0.3855932203389831,0.0
mongke,64,5,2,Earth,0.15625,0.84375,0.0
merchant,27,2,1,Earth,0.8148148148148148,0.18518518518518517,0.0
villagers,4,1,1,Earth,0.0,1.0,0.0
villager,52,6,2,"Earth, Fire",0.38461538461538464,0.6153846153846154,0.0
tong,289,15,1,Earth,0.5951557093425606,0.40484429065743943,0.0
villager #2,24,3,2,"Earth, Fire",0.875,0.125,0.0
villager #3,16,3,2,"Earth, Fire",0.875,0.125,0.0
scary prisoner,43,4,1,Earth,1.0,0.0,0.0
prisoner #2,1,1,1,Earth,1.0,0.0,0.0
sensitive ruffian,12,2,1,Earth,1.0,0.0,0.0
kyoshi,134,5,2,"Earth, Fire",0.7089552238805971,0.291044776119403,0.0
flyer distribution man,19,1,1,Earth,1.0,0.0,0.0
yu,190,16,3,Earth,0.45263157894736844,0.5473684210526316,0.0
male student,73,3,1,Earth,0.6575342465753424,0.3424657534246575,0.0
male student #2,54,4,2,"Earth, Fire",0.4444444444444444,0.5555555555555556,0.0
xin fu,290,24,4,Earth,0.42758620689655175,0.5724137931034483,0.0
the boulder,136,8,2,"Earth, Fire",0.47058823529411764,0.5294117647058824,0.0
the hippo,3,1,1,Earth,0.0,1.0,0.0
fire nation man,50,6,3,"Earth, Fire",0.46,0.54,0.0
audience,1,1,1,Earth,1.0,0.0,0.0
lao,210,8,1,Earth,0.5047619047619047,0.49523809523809526,0.0
servant,54,4,2,"Earth, Fire",0.3148148148148148,0.6851851851851852,0.0
poppy,37,4,1,Earth,0.4864864864864865,0.5135135135135135,0.0
earth kingdom soldier,37,4,1,Earth,0.1891891891891892,0.8108108108108109,0.0
store owner,33,2,1,Earth,0.0,1.0,0.0
gow,113,6,1,Earth,0.2920353982300885,0.7079646017699115,0.0
lee,136,13,1,Earth,0.5514705882352942,0.4485294117647059,0.0
gansu,105,7,1,Earth,0.580952380952381,0.41904761904761906,0.0
sela,134,4,1,Earth,0.1791044776119403,0.8208955223880597,0.0
ursa,286,17,3,"Earth, Fire",0.6503496503496503,0.34965034965034963,0.0
young ty lee,7,2,1,Earth,0.7142857142857143,0.2857142857142857,0.0
young mai,6,1,1,Earth,0.0,1.0,0.0
azulon,58,2,1,Earth,0.10344827586206896,0.896551724137931,0.0
old woman,5,1,1,Earth,1.0,0.0,0.0
lu ten,4,1,1,Earth,1.0,0.0,0.0
zei,422,16,1,Earth,0.6635071090047393,0.33649289099526064,0.0
wan shi tong,275,6,1,Earth,0.38181818181818183,0.6181818181818182,0.0
fung,105,6,1,Earth,0.7428571428571429,0.2571428571428571,0.0
man in the bar,1,1,1,Earth,1.0,0.0,0.0
florist,23,3,1,Earth,0.30434782608695654,0.6956521739130435,0.0
white lotus member,19,1,1,Earth,0.0,1.0,0.0
sha-mo,48,3,1,Earth,0.4166666666666667,0.5833333333333334,0.0
ghashiun,126,11,2,Earth,0.3888888888888889,0.6111111111111112,0.0
than,68,5,1,Earth,0.7058823529411765,0.29411764705882354,0.0
ying,102,7,2,Earth,0.38235294117647056,0.6176470588235294,0.0
ticket lady,126,4,1,Earth,0.36507936507936506,0.6349206349206349,0.0
earthbender guard,12,1,1,Earth,0.0,1.0,0.0
general sung,127,4,1,Earth,0.30708661417322836,0.6929133858267716,0.0
terra team leader,3,1,1,Earth,1.0,0.0,0.0
ticket woman,32,1,1,Earth,0.4375,0.5625,0.0
terra team member,30,1,1,Earth,0.0,1.0,0.0
tea seller,11,1,1,Earth,1.0,0.0,0.0
second engineer,16,1,1,Earth,0.0,1.0,0.0
train conductor,6,1,1,Earth,0.0,1.0,0.0
joo dee,471,16,2,Earth,0.7112526539278131,0.28874734607218683,0.0
pao,72,5,2,Earth,0.2777777777777778,0.7222222222222222,0.0
pet store owner,35,1,1,Earth,0.0,1.0,0.0
university student,41,2,1,Earth,0.0,1.0,0.0
pong,57,1,1,Earth,0.38596491228070173,0.6140350877192983,0.0
customer,40,3,1,Earth,0.375,0.625,0.0
long feng,761,27,5,Earth,0.3823915900131406,0.6176084099868594,0.0
older guest,6,1,1,Earth,1.0,0.0,0.0
